name,location,cuisines,highlights,cost_for_two,rating,budget_bucket
Mango Greens,JP Nagar,"North Indian, Continental, Chinese",,900.0,3.9,medium
Nando's,Malleshwaram,"Portuguese, Wraps, Burger, Salad","Burgers, Peri Peri Chips, Beer, Mocktails, Peri Peri Chicken, Potato Wedges, Butterfly Chicken",1200.0,4.1,medium
Suvarna Sree Food Paradise,Banaswadi,"South Indian, Chinese, North Indian, Biryani, Kebab, Andhra",,400.0,,low
The Bangalore Cafe,Shanti Nagar,"Modern Indian, North Indian, Pizza, Continental, Beverages","Pasta, Coffee, Chaat, Paneer Pizza, Tawa Pulav, Aloo Biryani, Paratha",800.0,4.1,medium
Kolkata King,Basavanagudi,"Fast Food, Rolls",,300.0,3.6,low
Diabetics Dezire Sugarless Sweets and Bakes,Basavanagudi,"Desserts, Mithai",,300.0,3.3,low
Kabab Souq,Richmond Road,"Kebab, North Indian, Arabian, Chinese",,500.0,3.6,low
24/7 Food Service,JP Nagar,"South Indian, North Indian, Fast Food",,300.0,3.0,low
Kaayal,Jeevan Bhima Nagar,"Kerala, Chinese","Appam, Fish Curry, Buttermilk, Chicken Stew, Kadala Curry, Kerala Parotta, Roast Beef",500.0,3.0,low
Abhiruchi Hotel,BTM,"Andhra, Biryani, Chinese, North Indian, Seafood, South Indian","Dum Biryani, Prawn Curry, Paneer Biryani, Chicken Boneless Biryani, Apollo Fish",600.0,3.5,medium
The Good Bowl,Sarjapur Road,"Italian, North Indian, Biryani",,500.0,3.6,low
Ibaco,Rajajinagar,Desserts,,300.0,3.6,low
S L Prabhat,Whitefield,"Fast Food, North Indian, Sandwich",,200.0,,low
A3 Nuwang Kitchen,Ejipura,"Chinese, North Indian",,300.0,3.7,low
Corner House Ice Cream,Basavanagudi,"Ice Cream, Desserts","Hot Chocolate Fudge, Apple Cake, Almond Fudge, Banana Split, Fudge Cake, Chocolate Sundae, Creamy Vanilla Ice Cream",400.0,4.3,low
KFC,Sarjapur Road,"Burger, Fast Food","Rice Bowl, Burgers, Crispy Chicken, Chicken Wings, French Fries, Popcorn Chicken",450.0,3.2,low
Kakal Kai Ruchi,JP Nagar,"South Indian, North Indian, Chinese",,450.0,3.9,low
Attic Lounge,Koramangala 4th Block,Cafe,"Pizza, Pasta, Mocktails, Malai Tikka, Noodles, Chicken Tikka, Spaghetti",700.0,4.0,medium
Desserts Tree,Koramangala 1st Block,"Mithai, Desserts",,100.0,3.8,low
The Gujarat Express,Bannerghatta Road,"Street Food, Mithai, North Indian",,250.0,3.1,low
Kamat's Palate Korner,Richmond Road,"North Indian, Chinese","Butter Chicken, Jeera Rice, Dal Makhani, Butter Naan, Tandoori Chicken, Rumali Roti, Panneer Butter Masala",600.0,4.1,medium
Durbar Greens Family Restaurant,Hosur Road,"North Indian, Chinese, South Indian",,700.0,3.6,medium
Mani's Dum Biryani,Koramangala 5th Block,"Biryani, Kebab","Kebab Biryani, Raita, Chicken Biryani, Vegetable Biryani, Basmati Rice, Hyderabadi Biryani, Dum Biryani",750.0,3.9,medium
China Pearl,Koramangala 6th Block,Chinese,"Noodles, Veg Momos, Chicken Soup, Chicken Dumplings, Meishan Tofu, Sea Food, Mocktails",1100.0,4.4,medium
Samavar,Koramangala 6th Block,"North Indian, South Indian, Chinese, Continental, Italian",,1000.0,3.4,medium
Urban Solace - CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© for the Soul,Ulsoor,"Cafe, American, Continental, Steak","Chocolate Shake, Wine, Burgers, Sangria, Paratha, Pasta, Fish",800.0,3.9,medium
TheRiceBowl.In,BTM,"Biryani, North Indian",,200.0,3.4,low
Chill And Grill,Sadashiv Nagar,Fast Food,,300.0,,low
Kolkata Famous Kati Rolls,Frazer Town,"Rolls, Street Food",,200.0,3.4,low
Smoke - The Sizzler House,Koramangala 7th Block,"Continental, Chinese, Thai, Italian, BBQ, Steak","Butter Garlic Prawns, Mocktails, Noodles, Salads, Brownie, Pasta Sizzler, Chicken Steak",1100.0,4.0,medium
Malabar Cafe,Indiranagar,"Kerala, South Indian",,350.0,,low
Tea and Wine Lounge,Race Course Road,"Cafe, Tea, Desserts",,800.0,3.6,medium
Ministry of Burger,JP Nagar,Continental,,500.0,,low
Anvar Bhai's,BTM,North Indian,,250.0,,low
Sendhoor Coffee,Indiranagar,"Coffee, South Indian","Tea, Tomato Rice, Vada, Pongal, Filter Coffee, Idli, Biryani",200.0,3.9,low
Fishland Deluxe,Jayanagar,"South Indian, North Indian, Chinese, Kebab",,500.0,3.5,low
Anand Sweets and Savouries,Commercial Street,"Mithai, Fast Food","Badam Milk, Chaat, Rasmalai, Mysore Pak, Samosa, Paneer Cutlets, Kachori",400.0,4.0,low
Taste of Coastal,Whitefield,"South Indian, North Indian",,300.0,,low
Chillout,BTM,"Burger, Cafe, Pizza, Beverages",,200.0,,low
Baba Chatkora,Koramangala 6th Block,North Indian,"Matka Lassi, Paneer Tikka, Chole, Shikanji, Onion Kulcha, Malai Chaap, Soya Chaap",1000.0,4.2,medium
Desi Qulfi,Whitefield,Ice Cream,,150.0,,low
Sunshadow.in,Kaggadasapura,"North Indian, Chinese",,400.0,3.5,low
Mahek of Punjab,Marathahalli,North Indian,,400.0,2.7,low
New Mangalore Lunch Home,Koramangala 1st Block,"Mangalorean, Chinese, North Indian",,300.0,3.8,low
Samruddhi Restaurant,Electronic City,"Andhra, North Indian, Chinese",,500.0,,low
Chicken Corner,BTM,"Biryani, North Indian, Fast Food, Chinese",,400.0,3.7,low
Lassi Corner,Vijay Nagar,"Beverages, Desserts",,300.0,,low
Mounika Andhra Mess,CV Raman Nagar,"South Indian, Biryani",,400.0,,low
Nakkshatra,Marathahalli,"North Indian, Chinese","Paan Shot, Kalmi Kabab, Achari Chicken, Paneer Khurchan, Cocktails, Chicken Lollipop, Dum Ka Chicken",900.0,4.5,medium
Swaad,New BEL Road,Bengali,,400.0,,low
Sober Turtle,Koramangala 4th Block,"Street Food, Sandwich, Beverages",,250.0,3.4,low
TangyLicious,BTM,Fast Food,,400.0,2.6,low
The French Loaf,Domlur,"Bakery, Desserts, Sandwich",,400.0,,low
Moghul's Restaurant,HBR Layout,"Mughlai, North Indian, Chinese",,700.0,3.0,medium
Mani's Dum Biryani,Jeevan Bhima Nagar,"Biryani, Kebab","Vegetable Biryani, Raita, Mutton Biryani, Chicken Kebab Biryani, Paneer Biryani, Chicken Biryani Combo, Lemon Chicken",750.0,4.0,medium
Sri Venkateshwara Chat Centre,Banashankari,Street Food,,100.0,3.5,low
Kannur Food Point,BTM,"Kerala, Chinese","Roast Chicken, Thalassery Biryani",200.0,4.0,low
Kings Kitchen,Koramangala 1st Block,"Biryani, North Indian",,500.0,3.3,low
Truly Punjab,Koramangala 1st Block,"North Indian, Biryani","Raita, Sarson Ka Saag, Paneer Tikka Masala, Paratha, Sarso Da Saag, Chole, Dal Fry",500.0,4.1,low
Empire Restaurant,Jayanagar,"North Indian, Mughlai, South Indian, Chinese","Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750.0,4.4,medium
Ghar Ka Chulha,Sarjapur Road,"North Indian, Chinese","Paratha, Panneer Butter Masala, Roti, Khichda",550.0,3.1,low
Garage Food Company,Koramangala 1st Block,"Chinese, Momos",,400.0,,low
Yum Tum,Domlur,"Salad, Greek, Mediterranean",,250.0,3.4,low
Royal Restaurant,Shivajinagar,"North Indian, Chinese",,200.0,3.2,low
Plan B,Brigade Road,"American, Continental, BBQ, Steak","Burgers, Beer, Veg Lasagna, Peri Peri Chicken Wings, Barbecue Wings, Sandwiches, Beef Steak",1200.0,4.2,medium
Spar Refresh,Bannerghatta Road,"North Indian, South Indian, Pizza",,300.0,3.5,low
Allana Kabab,Richmond Road,North Indian,,200.0,3.3,low
Indori Zaika,HSR,North Indian,,300.0,2.8,low
The Belgian Waffle Co.,Koramangala 5th Block,"Desserts, Beverages","Belgian Waffles, Chocolate Overload, Triple Chocolate",350.0,4.2,low
Cakeport,Magadi Road,"Bakery, Desserts",,500.0,,low
Pet Full @ 99,Sarjapur Road,North Indian,,200.0,3.0,low
FreshMenu,North Bangalore,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger","Chicken Steak, Burgers, Salads, Potato Wedges, Salad, Fish, Rice Bowl",450.0,3.6,low
Vishwaas Take Away,Marathahalli,"North Indian, Chinese",,250.0,3.2,low
InnerChef,Indiranagar,"North Indian, Continental","Salads, Pasta, Dal Makhani, Paratha, Chole, Red Velvet Cake, Butter Chicken",500.0,3.7,low
Martino's,Koramangala 1st Block,"Italian, Pizza",,350.0,3.6,low
Nasi And Mee,Koramangala 4th Block,"Malaysian, Thai, Singaporean, Asian, Chinese, Momos","Salads, Shitake Mushrooms, Noodles, Dumplings, Nasi Goreng, Crispy Corn, Vegetarian",1000.0,4.4,medium
KafeKombos,HSR,"North Indian, South Indian, Oriya",,300.0,3.5,low
Southinn,Sarjapur Road,"South Indian, Fast Food, Chinese, North Indian, Street Food","Vada, Coffee, Idli, Masala Dosa, Tea, Onion Dosa, Podi Dosa",250.0,3.2,low
Rajanna Military Hotel,Jayanagar,"Biryani, Fast Food","Biryani, Chicken Curry, Paya Soup, Paratha, Mutton Keema, Chicken Guntur, Pepper Chicken",400.0,4.1,low
Savi Sagar,Bellandur,"North Indian, South Indian, Chinese",,400.0,3.2,low
Innerchef,JP Nagar,"North Indian, Continental",,500.0,,low
WOW! Momo,BTM,"Tibetan, Momos","Burgers, Momo Burger, Chocolate Momos, Tandoori Momos",400.0,2.8,low
Shavaji Hotel,JP Nagar,South Indian,,200.0,,low
The Hyderabadi Cooks,Brookefield,"North Indian, Chinese",,300.0,,low
Melting Melodies,Koramangala 1st Block,"Bakery, Desserts",,600.0,,medium
Biryani Palace,HSR,"Biryani, Hyderabadi, Chinese","Tandoori Chicken, Chicken Boneless Biryani, Hyderabadi Biryani, Lemon Chicken, Mutton Biryani, Raita",600.0,3.9,medium
Iyengars' Bakery,Richmond Road,Bakery,,200.0,3.4,low
KC Das - Sweet Sadan,Malleshwaram,"Mithai, Street Food",,200.0,3.0,low
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices","Masala Dosa, Coffee",500.0,3.9,low
Sneha's Kitchen,Jayanagar,North Indian,,200.0,,low
99 Variety Dose-Biryanis-Starters,HSR,"South Indian, North Indian, Fast Food, Chinese",,300.0,,low
SipMeal,Indiranagar,"Healthy Food, Beverages",,300.0,,low
HungerLoft,BTM,"North Indian, Chinese, Arabian",,800.0,2.5,medium
Handi Biryani,Marathahalli,"Hyderabadi, Biryani","Hyderabadi Biryani, Dum Biryani, Chicken Biryani",300.0,3.9,low
4 Seasons Restaurant,Kalyan Nagar,"North Indian, Seafood, Middle Eastern, Chinese","Veg Pulao, Mutton Biryani, Badami Kheer, Veg Platter, Chicken Kebab, Tandoori Chicken, Stuffed Capsicum",1000.0,3.7,medium
Cakes and Moulds,Koramangala 1st Block,"Bakery, Desserts",,300.0,3.6,low
Sudama Restaurant,Ulsoor,"South Indian, North Indian",,,,high
Sharaab Factory,Bellandur,"Biryani, North Indian","Chicken Curry, Beer, Chicken Tikka, Cocktails, Long Island Iced Tea",1500.0,3.9,high
Atty's Bakery,Frazer Town,Bakery,"Gooey Brownie, Brownie Chocolate, Chocolate Ganache, Garlic Bread, Salted Caramel Brownie, Plum Cake, Chocolate Cake",250.0,4.0,low
Flying Cakes,JP Nagar,Bakery,,500.0,,low
NoLimmits Lounge and Club,Brigade Road,"Chinese, Continental, North Indian","Salads, Chicken Bbq Wings, Sandwiches, Pasta, Pizza, Biryani, Cocktails",2000.0,4.1,high
Maddy's Cafe,Kammanahalli,"Cafe, Continental",,500.0,3.8,low
Tentacles,BTM,"North Indian, Chinese, Seafood",,600.0,,medium
Nawab-E-Khana,BTM,"North Indian, Biryani",,500.0,3.2,low
Anjappar,JP Nagar,"Chettinad, South Indian","Appam, Chicken Biryani, Butter Naan",650.0,2.7,medium
Bhagini,Banaswadi,"Andhra, South Indian, Chinese, North Indian",,800.0,2.3,medium
Nammura Donne Biriyani,BTM,"Andhra, Biryani",,300.0,3.6,low
Kallummakkaya,BTM,"South Indian, North Indian",,200.0,,low
Bob's Bar,Koramangala 7th Block,"South Indian, Finger Food","Murgh Ghee Roast, Beer",1000.0,,medium
Ksheera Sagar,Koramangala 8th Block,South Indian,,300.0,,low
ThrowBack - Pub & Dine,Langford Town,"Italian, North Indian, Continental","Cocktails, Pizza, French Fries",1000.0,3.9,medium
Just Bake,Koramangala 5th Block,"Bakery, Desserts","Coffee, Cup Cake",400.0,3.8,low
Baba Ka Dhaba,BTM,North Indian,"Paratha, Butter Naan, Thali, Tandoori Roti, Lassi",400.0,3.7,low
Nuts Over Salads Cafe,Koramangala 5th Block,"Cafe, Salad","Salad, Salads, Peri Peri Chicken, Broccoli Soup, Burgers, Steak, Brownie",800.0,4.4,medium
Hunger2Eat,BTM,"Biryani, Fast Food, North Indian",,400.0,3.7,low
Chullah Chandigarh,Bellandur,North Indian,"Lassi, Dal Makhani, Murgh Patiala, Hara Bhara Kabab, Malai Kofta, Stuffed Mushroom, Paneer Tikka",800.0,4.2,medium
Toast & Tonic,Richmond Road,"European, Asian","Cocktails, Salads, Pork Ribs, Tomato Soup, Burgers, Mushroom Toast, Cheesecake",1500.0,4.6,high
The Permit Room,Brigade Road,South Indian,"Cocktails, Chicken Curry, Beer, Watermelon Mojito, Bbq Mushroom, Kokum Sharbat, Brain Fry",1500.0,4.5,high
The Waffcake Legacy,Marathahalli,"Desserts, Street Food, Sandwich, Beverages","Waffles, Pancakes, Liti Chokha, Ginger Tea, Maggi, Hot Chocolate, Chaat",350.0,4.0,low
Hotel Ashoka,Shivajinagar,South Indian,,200.0,3.7,low
Namma Atithi,Electronic City,"North Indian, South Indian, Chinese, Biryani",,200.0,,low
Breads and Banter,Brookefield,"Cafe, Bakery, Fast Food","Tea, Pizza, New York Cheesecake, Hot Chocolate, Sunday Brunch",400.0,4.2,low
Go Native,Jayanagar,"Healthy Food, Cafe, Beverages","Mushroom Soup, Salads, Halwa, Thali, Salad, Millet Pizza, Misal Pav",800.0,4.3,medium
TBC - The Breakfast Company,Marathahalli,"Bihari, North Indian, South Indian","Poha, Aloo Paratha",150.0,3.8,low
Thanco's Natural Ice Cream,Banaswadi,"Ice Cream, Desserts",Sweet Paan,450.0,3.8,low
North Indian Hotel,Shivajinagar,North Indian,,200.0,3.5,low
Little Italy,Sadashiv Nagar,"Italian, Pizza, Mexican","Pizza, Mocktails, Salads, Nachos, Pesto Pasta, Risotto, Spinach Salsa",1400.0,4.3,medium
Wokanaka - The Casual Chinese Pitstop,Kalyan Nagar,"Asian, Chinese, Thai, Seafood, Momos","Lemonade, Manchurian, Vegetable Noodles, French Fries, Veg Hakka Noodles",500.0,4.1,low
Polo Club - The Oberoi,MG Road,"American, North Indian, European, Tex-Mex","Sangria, Wine, Burgers, Tea, Cheesecake, Cheese Croquettes, Chicken Grill",3000.0,4.1,high
Sai Ram Andhra Mess,Bellandur,"South Indian, North Indian",,300.0,3.2,low
Karavali Fish Center,Banashankari,"Mangalorean, Chinese",,300.0,3.4,low
Puff Cafe,New BEL Road,"Cafe, Italian, American",Pasta,700.0,3.7,medium
Biriyani Angadi,BTM,Biryani,,200.0,3.2,low
Karachi Bakery,Sarjapur Road,"Bakery, Fast Food, Desserts",,400.0,3.7,low
Iyer Idly,Thippasandra,South Indian,Idli,150.0,4.0,low
Bread and Circus,Shanti Nagar,"Cafe, Fast Food, Pizza, Burger",,550.0,3.7,low
All Shook Up!,Domlur,"Desserts, Beverages","Sandwiches, Mint Oreo Shake, Faluda, Brownie Shake, Cheese Sandwich, Ice-cream Shake, Chicken Sandwich",300.0,3.9,low
Kitchens@BTM,BTM,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",,400.0,3.9,low
Terra Bites,Koramangala 4th Block,"Cafe, Italian, Continental","Spaghetti, Hot Chocolate, Coffee, Tea",700.0,4.1,medium
Blue Nile Coffee Shop,Seshadripuram,Cafe,,600.0,,medium
Coffee Tea & More,Koramangala 5th Block,"Beverages, Sandwich","Ginger Tea, Filter Coffee, Sandwich, Poha, Waffles, Vada",150.0,4.0,low
China Bowl,Koramangala 6th Block,Chinese,"Noodles, Roast Pork, Biryani, Manchow Soup, Pork Ribs, Butter Garlic Prawns, Crispy Honey Chilli Chicken",1000.0,3.9,medium
The Hyderbadi Chefs,Electronic City,"South Indian, North Indian, Chinese",,400.0,3.4,low
Pakiza Dilli Darbar Restaurant,BTM,Biryani,,300.0,3.2,low
Myu Bar at Gilly's Redefined,Koramangala 4th Block,"American, North Indian, Pizza, Finger Food, Continental, Italian","Mai Thai, Sangria, Cocktails, Pizza, Biryani, Beer, Chicken Nachos",1200.0,4.5,medium
Just Fresh Point,Electronic City,"Street Food, American, Sandwich, Fast Food, Beverages, Burger, Desserts, Pizza","Sandwiches, Chaat, Rasmalai, Pizza, Ginger Tea, Sandwich, Paratha",300.0,4.0,low
Bheema's,Church Street,Andhra,"Thali, Mutton Biryani, Mutton Fry, Chilli Chicken, Chicken Biryani, Andhra Meal, Vegetable Biryani",650.0,4.0,medium
Cafe Velvette,Domlur,"Cafe, American, Italian, Continental",,400.0,3.5,low
Strikers Sports Bar and Music,Shanti Nagar,"Continental, North Indian, Chinese",Beer,1200.0,3.8,medium
Moriz Restaurant,Bellandur,"Arabian, North Indian, Seafood, Chinese, Biryani","Shawarma, Pepper Chicken",800.0,2.6,medium
Hyderabad Cuisine Multicuisine Restaurant,Whitefield,"North Indian, Chinese, Biryani","Spring Roll, Butter Naan, Fish, Haleem, Panneer Butter Masala, Roti, Hyderabadi Chicken Biryani",700.0,3.7,medium
Fire And Ice,Kaggadasapura,"Desserts, Fast Food",,300.0,3.7,low
Yo! Thali,HSR,"North Indian, South Indian, Chinese",,400.0,,low
Chung Wah,New BEL Road,"Chinese, Momos, Thai, Vietnamese","Noodles, Fish, Chicken Satay, Momos, Pork Ribs, Sweet Corn Soup, Clear Soup",650.0,4.0,medium
Gundappa Donne Biryani,Indiranagar,Biryani,"Donne Biryani, Chilli Chicken, Chicken Guntur, Mutton Biryani, Chicken Biryani, Mutton Thali",300.0,2.5,low
Biriyani Mane,Jayanagar,"Biryani, Chinese, North Indian","Roti, Vegetable Biryani, Chicken Biryani",700.0,3.7,medium
Bansuri Sweets,BTM,"Street Food, North Indian","Chaat, Gulab Jamun, Panipuri, Samosa, Dhokla, Thali, Kachori",200.0,3.8,low
Sandhya Sagar,Shanti Nagar,"North Indian, Chinese, South Indian",,300.0,,low
Plan B,Marathahalli,"Continental, BBQ, Steak","Wings, Pizza",1100.0,3.9,medium
Malabar Cafe,Bannerghatta Road,"South Indian, Kerala, Biryani",,400.0,3.3,low
Mr. Meetharam,JP Nagar,"Mithai, Street Food",,150.0,3.2,low
Vandana Andhra and Multi Cuisine,Sarjapur Road,"Andhra, Hyderabadi, Biryani, Chinese, North Indian","Chicken Guntur, Thali, Prawn Pepper Fry, Chicken Biryani, Gulab Jamun, Mutton Biryani, Halwa",900.0,4.1,medium
The Milkshake Theory,Lavelle Road,"Beverages, Fast Food",,400.0,3.2,low
New Kairali Restaurant,Kammanahalli,"Kerala, South Indian","Fish Curry, Appam, Paratha, Sea Food, Beef Biryani, Beef Curry, Beef Fry",400.0,3.7,low
Yummerica Fries,BTM,"Fast Food, Beverages",,,3.3,high
Swathi Restaurant,JP Nagar,Mangalorean,,400.0,3.8,low
Palki Restaurant,Old Airport Road,"North Indian, Chinese, Biryani, Mangalorean","Murgh Ghee Roast, Biryani, Dal Fry, Fried Rice",500.0,2.8,low
Cream Stone,Marathahalli,"Desserts, Ice Cream, Beverages","Waffles, Vanilla Ice Cream, Hot Chocolate Fudge, Coffee, Tiramisu, Brownie, Chocolava",500.0,4.1,low
The Grand Taj,Shivajinagar,"North Indian, Chinese",,350.0,3.2,low
Oottupura,New BEL Road,"Kerala, North Indian, Chinese, Rolls, Juices","Chicken Grill, Shawarma, Rolls, Biryani, Kerala Parotta",350.0,2.6,low
Bean D'er Cafe,JP Nagar,"Tamil, Fast Food",,250.0,3.4,low
Hyderabad Biryaani House,Marathahalli,"Biryani, North Indian, Chinese","Hyderabadi Style Biryani, Tandoori Chicken, Mutton Biryani, Vegetable Biryani, Dum Biryani, Chicken Boneless Biryani, Lemon Chicken",700.0,3.7,medium
Sri Krishna Veg,Basavanagudi,South Indian,,100.0,3.5,low
Blue Berry Restaurant,BTM,"North Indian, Kerala, Chinese",,600.0,2.9,medium
Sri Sai 99 Variety Dosa,Jayanagar,South Indian,,300.0,3.6,low
Nuty,Kammanahalli,"North Indian, Biryani",,300.0,,low
Om Made Cafe,Koramangala 5th Block,"Cafe, Continental, European, Juices","Margarita, Pasta, Mocktails, Lemonade, Bruschettas, Salads, Spaghetti",1300.0,4.1,medium
DW Dabbawala,Ejipura,North Indian,,200.0,,low
Kopper Kadai,Koramangala 5th Block,"North Indian, Chinese","Mutton Kalmi, Chicken Biryani, Dahi Ke Kebab, Lassi, Tomato Soup, Ganna Chicken, Soya Chaap",1200.0,4.1,medium
Waikiki,JP Nagar,"Fast Food, Beverages",,200.0,3.2,low
Little Nature,Marathahalli,"Juices, Ice Cream, Fast Food",,250.0,3.1,low
Bricklane,Indiranagar,"Italian, Mediterranean, Pizza","Pizza, Tandoori Chicken, Mocktails, Cocktails, Sali Boti, Chocolate Mud Pot, Crispy Lotus Stem",1500.0,4.2,high
Mountain Spice,Koramangala 8th Block,"Chinese, Nepalese, Tibetan, Momos","Momos, Chicken Lollipop, Chicken Momo, Noodles, Chicken Thukpa",400.0,3.9,low
Sids Cafe,Koramangala 5th Block,Fast Food,,200.0,,low
A2B - Adyar Ananda Bhavan,BTM,"South Indian, North Indian, Street Food",,200.0,4.2,low
Kuttanadu Family Restaurant,Jalahalli,"Seafood, South Indian",,600.0,3.6,medium
Mist N Creams,Brigade Road,Ice Cream,,400.0,,low
Adithya Family Restaurant,BTM,South Indian,,250.0,3.7,low
Skyye,Lavelle Road,Continental,"Cocktails, Long Island Iced Tea, Mojito, Peri Peri Chicken, Mocktails, Chicken Satay, Beer",2500.0,4.2,high
Sunny's,Lavelle Road,"European, Italian, Seafood, Continental","Penne Pasta, Pizza, Cocktails, Salads, Risotto, Sea Food, Crab Cake",2100.0,4.1,high
Roots,Koramangala 1st Block,"North Indian, South Indian, Chinese, Continental, Mangalorean","Kadhai Murgh, Coffee Toffee, Pasta, Tandoori Chicken, Dum Aloo, Tandoori Pomfret, Butter Chicken",1200.0,4.5,medium
Russh Gastropub,Church Street,"Continental, Italian, Burger","Cocktails, Bruschettas, Beer, Tiramisu, Brownie, Chicken Popcorn, Nachos",1100.0,4.2,medium
Nandini Cafe,HSR,Fast Food,,200.0,,low
On The Nose,BTM,"Cafe, Italian, Mexican, Chinese","Pasta, Sandwiches, Peppy Paneer Pizza, Sandwich, Thick Shakes, Onion Rings, Tomato Soup",600.0,3.8,medium
Sri Durga Grand,Rajajinagar,"South Indian, Chinese",,300.0,3.3,low
Rajeev Bakery & Juice,Richmond Road,"Fast Food, Desserts, Bakery",,150.0,,low
New York Burrito,Banaswadi,Mexican,,400.0,3.1,low
Mani's Dum Biryani,Bellandur,"Biryani, Andhra","Vegetable Biryani, Raita, Chicken Boneless Biryani, Biryani Combo, Mutton Biryani, Chicken Kebab Biryani, Hyderabadi Biryani",750.0,4.0,medium
Chef Inn Regency,Domlur,"North Indian, Chinese, Andhra, Mangalorean",,,3.3,high
Ammi's Biryani,Whitefield,"Biryani, North Indian","Rice, Mutton Biryani, Chicken Biryani, Haleem, Vegetable Biryani, Hyderabadi Biryani, Chicken Guntur",500.0,2.5,low
Hatti Kaapi,Jayanagar,"South Indian, Beverages","Filter Coffee, Tea, Hot Coffee, Hatti Samosa",200.0,4.0,low
Oil Pump,Koramangala 6th Block,"Finger Food, Continental",,1000.0,3.7,medium
Innate,JP Nagar,Beverages,,,,high
Fava Bistro,Koramangala 5th Block,"Mediterranean, Pizza, Italian, Beverages","Pizza, Pita Bread, Beer Cocktail, Baklava, Shrimp Soup, Pasta, Babaganush",1500.0,4.4,high
Tata Cha,Bellandur,"Tea, Fast Food, Cafe",,400.0,3.4,low
Ocean's Delight,Kammanahalli,"Seafood, Biryani, South Indian",,700.0,3.4,medium
The CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© @ Saanchi,Richmond Road,Cafe,,800.0,4.0,medium
SV Restaurant,Whitefield,"Andhra, North Indian, Chinese, Biryani",,550.0,3.1,low
Cream Chemistry,Frazer Town,"Ice Cream, Desserts","Rolls, Ice Cream Roll",500.0,3.9,low
Biriyani Nights,Kammanahalli,"Biryani, Kebab, Continental",Biryani,500.0,3.0,low
Udupi Bhavan,HSR,"Chinese, North Indian, South Indian","Vada, Idli, Masala Dosa, Coffee",400.0,3.8,low
Communiti,Residency Road,"Continental, BBQ, Salad","Pizza, Cocktails, Peri Peri Chicken, Mocktails, Craft Beer, Pasta, Nachos",1500.0,4.7,high
Green Chillies,Whitefield,"North Indian, South Indian, Chinese",,750.0,,medium
Gorbandh,BTM,"Fast Food, North Indian","Aloo Paratha, Samosa, Kachori, Poha, Chaat",400.0,4.0,low
Cafe @ Elanza,Richmond Road,"Chinese, North Indian, Cafe","Breakfast Buffet, Omelette, Lunch Buffet, Pasta",1000.0,3.7,medium
Priyanka's Kitchen,Whitefield,"North Indian, South Indian, Chinese, Desserts",,350.0,,low
Khan's Biryani,BTM,"Biryani, North Indian",,200.0,3.0,low
Phulke Ghar Ke,Bellandur,"North Indian, Chinese","Lassi, Thali, Paratha, Rajma, Malai Kofta, Buttermilk, Phulke Ghar Ke",300.0,4.0,low
Friends Diner,Whitefield,"Continental, Italian, Pizza","Chicken Steak, Cheese Balls",700.0,2.8,medium
Calvin's,Koramangala 5th Block,Desserts,"Club Chicken Sandwich, Sandwiches, Coffee, Pie, Burgers, Carrot Cake, Cheesecake",800.0,3.8,medium
Murphy's Brewhouse - The Paul Bangalore,Domlur,"Continental, North Indian, Finger Food","Chicken Bruschetta, Tandoori Chicken, Veggie Pizza, Barbeque Chicken Pizza, Nachos, Wheat Beer, Stout",1700.0,4.3,high
PORKEATS,Koramangala 6th Block,"Goan, Mangalorean",,400.0,3.4,low
Sri Ganesh Fruit Juice Centre,Koramangala 6th Block,"Juices, Beverages",,100.0,3.2,low
Alchemy Coffee Roasters,Jayanagar,Cafe,"Coffee, Fries, Sandwich, Pizza, Pancakes, Pasta, Hot Chocolate",500.0,4.2,low
The Taste Adda,Ulsoor,"North Indian, Fast Food, Beverages",,200.0,,low
Chettinad Food House,BTM,"South Indian, Chettinad, North Indian",,300.0,3.1,low
Healthie,Koramangala 7th Block,"Healthy Food, Beverages","Chicken Grill, Sandwich",600.0,3.9,medium
Gowdru Military Hotel,JP Nagar,"Biryani, South Indian",,300.0,3.2,low
The Happy Vegetarian,Basaveshwara Nagar,"North Indian, Chinese, South Indian",,600.0,,medium
The Biryani Culture,Malleshwaram,North Indian,,500.0,3.2,low
Rolls On Wheels,Brigade Road,"Fast Food, Rolls, Momos",,300.0,3.5,low
Donne Biriyani House,HSR,Biryani,"Donne Biryani, Mutton Biryani, Chicken Kebab, Chilli Chicken, Chicken Biryani, Kshatriya Kebab, Chicken Fries",200.0,3.8,low
The LaLiT Boulangerie - The LaLiT Ashok Bangalore,Seshadripuram,"Bakery, Desserts",,600.0,3.2,medium
Indian Food,Marathahalli,"North Indian, South Indian",,200.0,,low
